"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"21.10.2021","5,661","5,777","5,787","5,637","49,57M","-2,90%"
"20.10.2021","5,830","5,763","5,862","5,717","84,65M","0,93%"
"19.10.2021","5,776","5,801","5,857","5,754","66,67M","-0,81%"
"18.10.2021","5,823","5,747","5,823","5,736","142,72M","0,94%"
"15.10.2021","5,769","5,680","5,835","5,675","49,38M","2,34%"
"14.10.2021","5,637","5,710","5,754","5,580","20,40M","-0,93%"
"13.10.2021","5,690","5,875","5,920","5,690","18,62M","-3,62%"
"12.10.2021","5,904","5,810","5,904","5,757","44,78M","-0,17%"
"11.10.2021","5,914","5,913","5,983","5,883","25,59M","-0,27%"
"08.10.2021","5,930","5,964","6,002","5,900","15,03M","-1,82%"
"07.10.2021","6,040","6,000","6,078","5,925","59,83M","1,60%"
"06.10.2021","5,945","5,970","5,999","5,870","96,66M","-0,92%"
"05.10.2021","6,000","5,603","6,000","5,600","75,91M","6,50%"
"04.10.2021","5,634","5,600","5,710","5,557","159,27M","0,02%"
"01.10.2021","5,633","5,610","5,646","5,511","72,59M","-1,47%"
"30.09.2021","5,717","5,790","5,812","5,700","24,47M","-0,44%"
"29.09.2021","5,742","5,719","5,745","5,618","16,79M","0,97%"
"28.09.2021","5,687","5,795","5,830","5,684","22,09M","-1,61%"
"27.09.2021","5,780","5,678","5,790","5,618","21,28M","2,10%"
"24.09.2021","5,661","5,529","5,691","5,490","27,44M","1,63%"
"23.09.2021","5,570","5,483","5,572","5,441","29,09M","2,81%"
"22.09.2021","5,418","5,369","5,460","5,290","19,99M","2,59%"
"21.09.2021","5,281","5,319","5,363","5,250","31,22M","0,63%"
"20.09.2021","5,248","5,582","5,589","5,248","51,90M","-7,48%"
"17.09.2021","5,672","5,779","5,859","5,666","222,75M","-0,91%"
"16.09.2021","5,724","5,630","5,757","5,618","22,51M","2,18%"
"15.09.2021","5,602","5,583","5,668","5,551","21,02M","0,39%"
"14.09.2021","5,580","5,602","5,685","5,569","21,58M","-0,30%"
"13.09.2021","5,597","5,519","5,602","5,482","14,22M","1,76%"
"10.09.2021","5,500","5,548","5,599","5,479","12,13M","-0,22%"
"09.09.2021","5,512","5,490","5,545","5,430","12,71M","-0,14%"
"08.09.2021","5,520","5,560","5,602","5,469","19,84M","-1,31%"
"07.09.2021","5,593","5,564","5,628","5,556","9,86M","0,52%"
"06.09.2021","5,564","5,589","5,636","5,556","4,13M","-0,07%"
"03.09.2021","5,568","5,640","5,666","5,565","15,22M","-0,73%"
"02.09.2021","5,609","5,650","5,673","5,560","15,79M","-0,50%"
"01.09.2021","5,637","5,624","5,688","5,602","13,23M","1,62%"
"31.08.2021","5,547","5,535","5,575","5,471","18,69M","0,22%"
"30.08.2021","5,535","5,589","5,620","5,527","5,22M","-0,81%"
"27.08.2021","5,580","5,600","5,612","5,508","7,95M","-0,59%"
"26.08.2021","5,613","5,684","5,709","5,603","10,04M","-1,65%"
"25.08.2021","5,707","5,514","5,723","5,508","16,09M","3,76%"
"24.08.2021","5,500","5,600","5,614","5,454","13,38M","-1,49%"
"23.08.2021","5,583","5,602","5,626","5,555","10,26M","0,52%"
"20.08.2021","5,554","5,585","5,629","5,508","15,86M","-0,63%"
"19.08.2021","5,589","5,650","5,686","5,540","12,71M","-3,55%"
"18.08.2021","5,795","5,670","5,806","5,656","19,42M","2,15%"
"17.08.2021","5,673","5,753","5,775","5,672","18,24M","-2,46%"
"16.08.2021","5,816","5,790","5,904","5,750","8,09M","-0,77%"
"13.08.2021","5,861","5,900","5,913","5,845","19,24M","-0,48%"
"12.08.2021","5,889","5,892","5,932","5,854","10,57M","-0,27%"
"11.08.2021","5,905","5,840","5,910","5,807","11,16M","1,36%"
"10.08.2021","5,826","5,735","5,831","5,722","11,82M","1,15%"
"09.08.2021","5,760","5,747","5,794","5,713","10,19M","-0,03%"
"06.08.2021","5,762","5,650","5,783","5,632","13,85M","1,93%"
"05.08.2021","5,653","5,582","5,686","5,581","14,13M","-0,19%"
"04.08.2021","5,664","5,590","5,670","5,569","14,05M","1,69%"
"03.08.2021","5,570","5,480","5,622","5,456","18,61M","2,20%"
"02.08.2021","5,450","5,420","5,563","5,403","29,05M","0,72%"
"30.07.2021","5,411","5,353","5,455","5,301","17,91M","-0,02%"
"29.07.2021","5,412","5,389","5,492","5,388","13,77M","0,74%"
"28.07.2021","5,372","5,464","5,491","5,358","21,23M","-1,30%"
"27.07.2021","5,443","5,428","5,479","5,392","11,60M","-0,68%"
"26.07.2021","5,480","5,306","5,490","5,236","18,13M","2,12%"
"23.07.2021","5,366","5,230","5,390","5,230","13,84M","2,19%"
"22.07.2021","5,251","5,240","5,333","5,223","13,18M","0,52%"
"21.07.2021","5,224","5,034","5,226","5,013","15,86M","3,94%"
"20.07.2021","5,026","4,964","5,039","4,909","12,43M","2,28%"
"19.07.2021","4,914","5,011","5,053","4,853","16,70M","-3,46%"
"16.07.2021","5,090","5,215","5,245","5,043","13,60M","-2,04%"
